condition,fly_id,choice,chose_b,odor_b_side,latency_s,distance,completed,weight_a,weight_b,random_seed
unpaired,9,A,False,left,21.0,2.5318865639331816,False,0.38216792737580496,0.3924737102260386,10724954256943986390
unpaired,10,B,True,right,18.900000000000002,2.3871800818643147,True,0.4054853014025608,0.369200874133085,18440849389792026806
unpaired,11,B,True,right,20.950000000000003,2.803766995916042,True,0.38563917267034614,0.38906072804295644,6241722524116165441
unpaired,12,B,True,left,21.0,2.951482516213342,False,0.3655614694541831,0.4089681373466454,6529201775910284113
unpaired,13,A,False,left,15.350000000000001,2.0914284430576338,True,0.4108720318173771,0.36355625925008056,10004655837866458640
unpaired,14,A,False,left,18.650000000000002,2.223769832718019,True,0.3554426044673467,0.41862583117625995,2875032225070457557
unpaired,15,A,False,right,21.0,2.8383851360897183,False,0.3832041111872424,0.3914688690141406,4363173809760342460
unpaired,16,A,False,left,20.35,2.299626701210104,True,0.40946210923179593,0.36496596255298885,2478335096062303141
unpaired,17,A,False,right,15.3,2.0770437642460298,True,0.4031650778314623,0.37156933803898906,1807367596312799863
unpaired,18,B,True,right,17.75,2.287520026849197,True,0.3630483365540836,0.4117119954791807,2832455427087186408
unpaired,19,B,True,right,18.05,2.724238782364506,True,0.38491663199155,0.389818071928701,5668680385352414968
unpaired,20,A,False,right,13.600000000000001,2.1383483106524963,True,0.41368685550639184,0.3609447172783733,15789869195203508545
unpaired,21,A,False,left,15.55,2.1155795860442925,True,0.393214907470224,0.38148806368873434,7399010307875149699
unpaired,22,B,True,right,16.6,2.4130191560441303,True,0.4023576791509487,0.3720662529308358,3044934604073700597
unpaired,23,A,False,left,19.6,2.296606246083031,True,0.3819861600092354,0.39284051255992614,9771455712206328920
unpaired,24,A,False,left,19.25,2.595846711995788,True,0.39474195971404924,0.37987223221344735,13236103696144245569
unpaired,25,B,True,left,21.0,2.311146794466732,False,0.4018602859094965,0.3732821513695027,8469144892821939486
unpaired,26,B,True,right,21.0,2.39338620399277,False,0.3823555395436931,0.39229166019350625,6651038844411693377
unpaired,27,B,True,right,19.3,2.777925427502448,True,0.35392527572523425,0.420269035790544,18293182064903737414
unpaired,28,B,True,right,21.0,2.6378135334978814,False,0.37027901359393156,0.40428884692422684,14081697827938610782
unpaired,29,B,True,right,21.0,3.0676056764711075,False,0.3903699994282722,0.38463776858454907,10332250859421555481
unpaired,30,B,True,right,18.05,2.0842026446686437,True,0.4008596227458727,0.3744026972700196,11225447001214959490
unpaired,31,B,True,right,21.0,2.3753492355027377,False,0.3951314453990372,0.37948622026764983,8141063389753892074
unpaired,32,A,False,right,17.900000000000002,2.4703441379283464,True,0.36605501647419203,0.4085886541373361,2196902211210584984
unpaired,33,B,True,right,14.350000000000001,2.1265569699902054,True,0.3740289761177922,0.40090558580661045,10859335430708966316
unpaired,34,A,False,right,21.0,2.863810223229594,False,0.4009483020690108,0.37434330531906823,8730796392027591112
unpaired,35,A,False,right,21.0,2.831550692802818,False,0.39338590146129404,0.38128780501884063,11244018156678681265
unpaired,36,B,True,right,16.7,2.2602380321252635,True,0.4172013971125994,0.3569297428410265,4276327514687775576
unpaired,37,B,True,left,18.55,2.3703660415813887,True,0.37869426421934094,0.39610582176846265,82118468230734067
unpaired,38,B,True,right,21.0,2.265651149686778,False,0.3493941004917603,0.42435678828510653,1307840135067573380
unpaired,39,B,True,right,13.8,2.1188768295454725,True,0.36059740063337076,0.4139178189597283,18285360379460168007
unpaired,40,B,True,left,19.75,2.5344228915692097,True,0.3637800998866253,0.41040895496559926,3280865901476732512
unpaired,41,A,False,left,19.400000000000002,2.2938046636711684,True,0.40229256515872996,0.37268555415100907,3574485525656721703
unpaired,42,A,False,right,16.55,2.3481591026850746,True,0.4078155313159794,0.36668407666603486,11088664230680123695
unpaired,43,B,True,left,21.0,2.5835892713966713,False,0.38235596298135477,0.3928133402576717,4291748541072567068
unpaired,44,B,True,right,15.15,2.3326219744518837,True,0.37107140864431143,0.4038862885101411,12590963839986727048
unpaired,45,B,True,left,19.700000000000003,2.120620522143103,True,0.4176172798913982,0.35651982186965614,4011495451885270350
unpaired,46,B,True,left,21.0,2.837516925121322,False,0.3723197618970772,0.40255521971256836,9509289841607201373
unpaired,47,B,True,left,17.55,2.0954284284064717,True,0.37274891499305174,0.40205476397233697,2060031730492995387
unpaired,48,A,False,left,21.0,2.449245895041693,False,0.36810638278574664,0.4069846145633593,3434660782379644136
unpaired,49,B,True,right,19.55,2.14587688535232,True,0.3826373977986225,0.3921366574095484,6325340818472833104
unpaired,50,B,True,right,21.0,2.5889304035134417,False,0.3969201424118646,0.3780089206635301,7174131621205497719
unpaired,51,B,True,left,21.0,2.254269376301489,False,0.39861049614513566,0.37638847270301967,10216738188129100555
unpaired,52,A,False,right,21.0,2.680511285698587,False,0.3919164959616982,0.3829785860808928,13563779461698957673
unpaired,53,A,False,right,16.8,2.101026029941784,True,0.3638351482213743,0.4106898328309966,7962351748882193795
unpaired,54,B,True,right,21.0,2.841244756341908,False,0.37311066368337087,0.40146643513946323,11728183622990243160
unpaired,55,A,False,right,20.450000000000003,2.5477894477967773,True,0.39529114865661963,0.37941348330175473,16641620072680845665
unpaired,56,B,True,left,21.0,2.618692283097241,False,0.3848269774220786,0.390004524693108,1897416540357161532
unpaired,57,B,True,left,21.0,2.3750319449277226,False,0.3828506738398621,0.3918153618838318,6678778005138745258
unpaired,58,B,True,left,14.200000000000001,2.14495787015756,True,0.40133901926656657,0.3732332339613482,10392594539577037617
unpaired,59,A,False,right,16.85,2.247467029301798,True,0.3836691423812125,0.39105339279464335,15517840497100326309
unpaired,60,A,False,left,20.35,2.331192265134215,True,0.39491008839344716,0.37978458517199115,17612663035681473218
unpaired,61,B,True,left,17.150000000000002,2.249040073516205,True,0.37840564215536404,0.39640734757542045,11295458063946326327
unpaired,62,A,False,right,21.0,2.550424013500227,False,0.381122140103079,0.3936956076449655,7890627158144631495
unpaired,63,A,False,right,16.2,2.187970845360092,True,0.40277652499152305,0.3716444217608958,17392810476062360840
unpaired,64,B,True,left,21.0,2.310838264198707,False,0.3815399674987605,0.3933969924165601,10133269172248452498
unpaired,65,B,True,left,21.0,2.19506681108053,False,0.3866439635691906,0.3881842736564145,4124957120372739806
unpaired,66,A,False,right,16.45,2.18159809597835,True,0.41149391681464387,0.3630575478797853,9510620911445684460
unpaired,67,B,True,right,21.0,2.3952536621045812,False,0.419450456367522,0.3545038436648813,14121512922371543810
unpaired,68,B,True,left,16.35,2.1614081509401903,True,0.40909465745254614,0.36557859348325167,1387082992405938805
unpaired,69,A,False,right,20.150000000000002,2.6602696661984333,True,0.4038496342698597,0.3706783616129776,13409514490676406587
unpaired,70,B,True,left,17.150000000000002,2.1628904159118822,True,0.37073616417029126,0.40400086792731754,13551875573452778744
