condition,fly_id,choice,completed,latency_s,distance_mm,odor_b_side,random_seed,circuit_seed,last_x_mm,last_y_mm,weight_a,weight_b,physical_training,physics_ticks,control_updates
paired,18,B,True,0.9637,23.382262708352243,left,569373386,2318598388,12.997040159159068,2.5005966839438596,0.0,0.5552669360674545,False,9637,397
paired,19,B,True,0.8872,21.581039868550878,right,3274451997,1847994383,12.000536529631448,-3.5606623894104388,0.0,0.5914033653870624,False,8872,389
paired,20,B,True,1.1021,26.51959710806492,right,2919912252,3532647606,15.35406069735176,-2.5005313420405444,0.0,0.5592254166558642,False,11021,411
paired,21,B,True,1.1463,27.75937659388058,left,4058920394,3253952273,16.258335434693148,2.5023968420145146,0.0,0.5555426173946998,False,11463,415
paired,22,A,True,0.9478000000000001,22.812495600621673,right,2123970655,3662084313,12.000429415864238,5.450292969789944,0.0,0.5939279763898493,False,9478,395
paired,23,B,True,1.1526,27.946826763524864,left,3415289622,1290198544,16.312683224581562,2.500415765696559,0.0,0.530937142209273,False,11526,416
paired,24,B,True,1.5056,36.108554496889816,right,1910202036,720826952,20.40416787693414,-2.500211030340529,0.0,0.556862065708038,False,15056,451
paired,25,B,True,0.9344,22.82060767605378,left,3947137033,3554254871,12.002005174025133,4.580313310453658,0.0,0.5390135651561884,False,9344,394
paired,26,A,True,1.0687,25.986448516182254,right,1396475382,2772708567,15.057947247433471,2.501103357344438,0.0,0.5634243707563035,False,10687,407
paired,27,B,True,0.8594,21.07018376410533,right,3420411494,2524977041,12.00098196807617,-2.8450874560083474,0.0,0.5449820982536578,False,8594,386
paired,28,none,False,,47.39279338161713,right,3049812762,1457771103,28.57480511470573,-0.3141126598037529,0.0,0.5482539254157259,False,20000,500
paired,29,B,True,0.9731000000000001,23.584214407597848,right,3459555230,725354768,12.000853245479066,-6.385611907009008,0.0,0.5678496986234219,False,9731,398
paired,30,B,True,0.9255,22.686132303131313,left,2446441635,2160239723,12.001263030931744,5.036061165330998,0.0,0.5582896971703027,False,9255,393
paired,31,A,True,0.921,22.489073618796354,right,730038600,3248186979,12.000846623535093,4.899156132698036,0.0,0.565635450905584,False,9210,393
paired,32,B,True,1.736,41.407911969079244,left,3616012249,3212606671,24.66595945483667,2.500885845345428,0.0,0.5737118371509545,False,17360,474
paired,33,B,True,0.9332,22.70755534722668,right,2600025322,4248454044,12.001016991553056,-5.510683209108563,0.0,0.5465790391937904,False,9332,394
paired,34,B,True,1.1091,26.89086121837508,right,4161493998,4137236358,15.704877973642134,-2.5015361358252153,0.0,0.5486626363061716,False,11091,411
paired,35,B,True,1.0471000000000001,25.311464021880976,right,622810370,2418480088,12.002034949542674,-7.489546324622065,0.0,0.5303756275048461,False,10471,405
paired,36,B,True,0.8649,21.11698061755892,right,3205717296,1725745693,12.001457056782785,-3.1190140657275736,0.0,0.5826525029520302,False,8649,387
paired,37,A,True,0.8939,21.88921664992499,right,2641484167,2232530563,12.001462612374668,4.0563423475029765,0.0,0.5516590205216595,False,8939,390
paired,38,none,False,,47.52892845071605,right,485281044,4041841091,28.819434901168382,-1.0082299456559585,0.0,0.5895689036686186,False,20000,500
paired,39,B,True,1.0481,25.57775634878496,right,1220856037,1985799328,12.001121386492171,-8.530906741470758,0.0,0.5278405390315237,False,10481,405
paired,40,B,True,1.2983,31.154112712423267,left,2712757873,3806212997,17.58351192032105,2.5003516722976467,0.0,0.551913458203127,False,12983,430
paired,41,none,False,,47.45945015231087,left,633531394,3071536981,28.690431665055577,-1.2006249150636021,0.0,0.5167413376734672,False,20000,500
paired,42,B,True,1.0234,24.918154609131005,right,1088153248,896331821,14.424776361865678,-2.500098207586764,0.0,0.5778738151580802,False,10234,403
paired,43,A,True,0.8925000000000001,21.789116485476736,right,2276546063,658987709,12.425921282892558,2.5016004778353804,0.0,0.5486392311681991,False,8925,390
paired,44,none,False,,47.30653806234974,left,2066014223,274102084,10.811212942681571,-21.971136609875707,0.0,0.5482853163844758,False,20000,500
paired,45,B,True,1.7756,42.548575849380136,left,1516483357,3398928728,12.000485943871668,20.153245100388805,0.0,0.5488227501322142,False,17756,478
paired,46,B,True,0.8797,21.520545831133983,right,3579417510,1392708965,12.001466374319365,-3.3556644830223252,0.0,0.5675285288719261,False,8797,388
paired,47,B,True,1.729,41.12070689221247,left,2275190673,2909142015,24.25579384592818,2.5029225154252424,0.0,0.559475244915053,False,17290,473
paired,48,A,True,0.8845000000000001,21.55516045806146,left,1630219979,672405161,12.001504523044206,-3.4479613353973013,0.0,0.5597688907906426,False,8845,389
paired,49,B,True,0.8971,21.931507728041147,right,706415061,3909842278,12.000276468817647,-4.554383149885133,0.0,0.574565009691776,False,8971,390
paired,50,B,True,0.9768,23.84291881946254,right,3138274473,1013113302,12.00241511055248,-6.920912635037667,0.0,0.5632288595883862,False,9768,398
paired,51,A,True,0.9839,23.96239416093572,right,1980167153,2947531972,13.785863856056231,2.500738353430398,0.0,0.5833294768519514,False,9839,399
paired,52,A,True,0.9216000000000001,22.452349244753435,left,4070402233,892660040,12.779732921911043,-2.5006388909156576,0.0,0.5394359180498556,False,9216,393
paired,53,B,True,0.9822000000000001,23.90113851698802,left,328832613,3744134835,13.550628176750536,2.5014248278946467,0.0,0.5687002064546735,False,9822,399
paired,54,B,True,0.9482,23.264350677758664,right,834337713,3666744667,12.001281565884836,-6.335117594665449,0.0,0.5683969415859702,False,9482,395
paired,55,B,True,1.0570000000000002,25.357620434164698,left,3049214328,1521226472,14.17512179948999,2.500121562957037,0.0,0.566486058131204,False,10570,406
paired,56,B,True,0.8988,22.093351507612386,right,3951773225,3056960700,12.001570629066855,-4.382178669619055,0.0,0.5673095271218801,False,8988,390
paired,57,B,True,0.8553000000000001,20.94661103346129,right,2629079482,2215744648,12.000654709435494,-2.6434131041188103,0.0,0.5575702698407695,False,8553,386
paired,58,B,True,0.8598,21.06623879875074,right,3010758147,1006714667,12.000239166561718,-2.897389899919336,0.0,0.5504201201594606,False,8598,386
paired,59,B,True,0.9384,23.05381280498851,left,3158119741,1816007316,12.000168874842688,5.69920971806878,0.0,0.5713878322901921,False,9384,394
paired,60,B,True,0.8663000000000001,21.202176868623,right,3188843761,1579432102,12.002193898150038,-3.290213670435272,0.0,0.6043273763559323,False,8663,387
paired,61,A,True,0.8667,21.163166478686446,left,3456494746,1483076116,12.001069227806314,-3.2288950225286093,0.0,0.5347103998602263,False,8667,387
paired,62,A,True,1.3455000000000001,32.21409542228839,left,944279951,2193072251,18.881927491103067,-2.500134881577615,0.0,0.5027171264513637,False,13455,435
paired,63,A,True,0.8941,21.879704322113316,right,1479905570,3767519229,12.44361209435875,2.5035521512372076,0.0,0.5394743626007797,False,8941,390
